ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
0,17558.5,16.71,16.71,293402.535,293402.535,FTX,2020-11-17 22:04:05
1,17559.0,0.2016,16.9116,3539.8944,296942.4294,FTX,2020-11-17 22:04:05
2,17559.5,0.01,16.9216,175.595,297118.0244,FTX,2020-11-17 22:04:05
3,17561.0,0.0593,16.9809,1041.3673,298159.3917,FTX,2020-11-17 22:04:05
4,17561.5,0.4447,17.4256,7809.59905,305968.99075,FTX,2020-11-17 22:04:05
5,17562.0,0.0999,17.5255,1754.4438,307723.43455,FTX,2020-11-17 22:04:05
6,17562.5,0.1185,17.644,2081.15625,309804.5908,FTX,2020-11-17 22:04:05
7,17563.0,0.0297,17.6737,521.6211,310326.2119,FTX,2020-11-17 22:04:05
8,17563.5,0.427,18.1007,7499.6145,317825.8264,FTX,2020-11-17 22:04:05
9,17564.5,0.089,18.1897,1563.2405,319389.0669,FTX,2020-11-17 22:04:05
10,17565.0,0.49,18.6797,8606.85,327995.9169,FTX,2020-11-17 22:04:05
11,17565.5,0.1187,18.7984,2085.02485,330080.94175,FTX,2020-11-17 22:04:05
12,17566.0,0.864,19.6624,15177.024,345257.96575,FTX,2020-11-17 22:04:05
13,17567.0,0.8895,20.5519,15625.8465,360883.81225,FTX,2020-11-17 22:04:05
14,17567.5,0.3362,20.8881,5906.1935,366790.00575,FTX,2020-11-17 22:04:05
15,17572.0,13.0575,13.0575,229446.39,229446.39,FTXUS,2020-11-17 22:04:05
16,17572.5,0.125,21.0131,2196.5625,368986.56825,FTX,2020-11-17 22:04:05
17,17574.0,0.773,21.7861,13584.702,382571.27025,FTX,2020-11-17 22:04:05
18,17575.0,0.114,21.9001,2003.55,384574.82025,FTX,2020-11-17 22:04:05
19,17577.0,0.8537,22.7538,15005.4849,399580.30515,FTX,2020-11-17 22:04:05
0,17558.0,16.6391,16.6391,292149.3178,292149.3178,FTX,2020-11-17 22:04:06
1,17558.5,0.019,16.6581,333.6115,292482.9293,FTX,2020-11-17 22:04:06
2,17559.0,0.2016,16.8597,3539.8944,296022.8237,FTX,2020-11-17 22:04:06
3,17559.5,0.01,16.8697,175.595,296198.4187,FTX,2020-11-17 22:04:06
4,17561.0,0.0593,16.929,1041.3673,297239.786,FTX,2020-11-17 22:04:06
5,17561.5,0.4447,17.3737,7809.59905,305049.38505,FTX,2020-11-17 22:04:06
6,17562.5,0.1185,17.4922,2081.15625,307130.5413,FTX,2020-11-17 22:04:06
7,17563.0,0.0297,17.5219,521.6211,307652.1624,FTX,2020-11-17 22:04:06
8,17563.5,0.427,17.9489,7499.6145,315151.7769,FTX,2020-11-17 22:04:06
9,17564.5,0.089,18.0379,1563.2405,316715.0174,FTX,2020-11-17 22:04:06
10,17565.0,0.49,18.5279,8606.85,325321.8674,FTX,2020-11-17 22:04:06
11,17565.5,0.2186,18.7465,3839.8183,329161.6857,FTX,2020-11-17 22:04:06
12,17566.0,0.864,19.6105,15177.024,344338.7097,FTX,2020-11-17 22:04:06
13,17567.0,0.8895,20.5,15625.8465,359964.5562,FTX,2020-11-17 22:04:06
14,17567.5,0.3362,20.8362,5906.1935,365870.7497,FTX,2020-11-17 22:04:06
15,17572.0,13.0575,13.0575,229446.39,229446.39,FTXUS,2020-11-17 22:04:06
16,17572.5,0.125,20.9612,2196.5625,368067.3122,FTX,2020-11-17 22:04:06
17,17574.0,0.773,21.7342,13584.702,381652.0142,FTX,2020-11-17 22:04:06
18,17575.0,0.114,21.8482,2003.55,383655.5642,FTX,2020-11-17 22:04:06
19,17575.5,0.1665,22.0147,2926.32075,386581.88495,FTX,2020-11-17 22:04:06
0,17559.0,0.019,0.019,333.621,333.621,FTX,2020-11-17 22:04:10
1,17559.5,0.1523,0.1713,2674.31185,3007.93285,FTX,2020-11-17 22:04:10
2,17561.0,0.0592,0.2305,1039.6112,4047.54405,FTX,2020-11-17 22:04:10
3,17561.5,0.4447,0.6752,7809.59905,11857.1431,FTX,2020-11-17 22:04:10
4,17562.5,0.1187,0.7939,2084.66875,13941.81185,FTX,2020-11-17 22:04:10
5,17563.0,0.089,0.8829,1563.107,15504.91885,FTX,2020-11-17 22:04:10
6,17563.5,0.427,1.3099,7499.6145,23004.53335,FTX,2020-11-17 22:04:10
7,17564.0,0.8895,2.1994,15623.178,38627.71135,FTX,2020-11-17 22:04:10
8,17564.5,0.089,2.2884,1563.2405,40190.95185,FTX,2020-11-17 22:04:10
9,17565.0,0.49,2.7784,8606.85,48797.80185,FTX,2020-11-17 22:04:10
10,17566.0,0.2185,2.9969,3838.171,52635.97285,FTX,2020-11-17 22:04:10
