bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
0,17555.0,12.578,12.578,220806.79,220806.79,FTX,2020-11-17 22:04:05
1,17553.5,0.1556,12.7336,2731.3246,223538.1146,FTX,2020-11-17 22:04:05
2,17553.5,62.0073,62.0073,1088445.14055,1088445.14055,FTXUS,2020-11-17 22:04:05
3,17551.5,107.6738,169.6811,1889836.7007,2978281.84125,FTXUS,2020-11-17 22:04:05
4,17550.5,19.2034,31.937,337029.2717,560567.3863,FTX,2020-11-17 22:04:05
5,17548.5,0.1708,32.1078,2997.2838,563564.6701,FTX,2020-11-17 22:04:05
6,17548.0,0.673,32.7808,11809.804,575374.4741,FTX,2020-11-17 22:04:05
7,17548.0,85.2371,254.9182,1495740.6308,4474022.47205,FTXUS,2020-11-17 22:04:05
8,17547.0,0.0593,32.8401,1040.5371,576415.0112,FTX,2020-11-17 22:04:05
9,17546.0,0.0593,32.8994,1040.4778,577455.489,FTX,2020-11-17 22:04:05
10,17545.0,0.4447,33.3441,7802.2615,585257.7505,FTX,2020-11-17 22:04:05
11,17544.5,1.0082,34.3523,17688.3649,602946.1154,FTX,2020-11-17 22:04:05
12,17543.5,0.4269,34.7792,7489.32015,610435.43555,FTX,2020-11-17 22:04:05
13,17543.0,0.7117,35.4909,12485.3531,622920.78865,FTX,2020-11-17 22:04:05
14,17543.0,82.3266,337.2448,1444255.5438,5918278.01585,FTXUS,2020-11-17 22:04:05
15,17542.5,0.1186,35.6095,2080.5405,625001.32915,FTX,2020-11-17 22:04:05
16,17539.0,0.0002,35.6097,3.5078,625004.83695,FTX,2020-11-17 22:04:05
17,17536.0,0.0204,35.6301,357.7344,625362.57135,FTX,2020-11-17 22:04:05
18,17535.5,0.8536,36.4837,14968.3028,640330.87415,FTX,2020-11-17 22:04:05
19,17534.0,114.1853,451.4301,2002125.0502,7920403.06605,FTXUS,2020-11-17 22:04:05
0,17555.0,12.71,12.71,223124.05,223124.05,FTX,2020-11-17 22:04:06
1,17553.5,62.0073,62.0073,1088445.14055,1088445.14055,FTXUS,2020-11-17 22:04:06
2,17553.5,0.1556,12.8656,2731.3246,225855.3746,FTX,2020-11-17 22:04:06
3,17551.5,107.6738,169.6811,1889836.7007,2978281.84125,FTXUS,2020-11-17 22:04:06
4,17550.5,19.2034,32.069,337029.2717,562884.6463,FTX,2020-11-17 22:04:06
5,17548.5,0.1423,32.2113,2497.15155,565381.79785,FTX,2020-11-17 22:04:06
6,17548.0,85.2371,254.9182,1495740.6308,4474022.47205,FTXUS,2020-11-17 22:04:06
7,17548.0,0.673,32.8843,11809.804,577191.60185,FTX,2020-11-17 22:04:06
8,17547.5,0.0285,32.9128,500.10375,577691.7056,FTX,2020-11-17 22:04:06
9,17547.0,0.0593,32.9721,1040.5371,578732.2427,FTX,2020-11-17 22:04:06
10,17546.0,0.0593,33.0314,1040.4778,579772.7205,FTX,2020-11-17 22:04:06
11,17544.5,0.126,33.1574,2210.607,581983.3275,FTX,2020-11-17 22:04:06
12,17544.0,0.3854,33.5428,6761.4576,588744.7851,FTX,2020-11-17 22:04:06
13,17543.5,0.4269,33.9697,7489.32015,596234.10525,FTX,2020-11-17 22:04:06
14,17543.0,82.3266,337.2448,1444255.5438,5918278.01585,FTXUS,2020-11-17 22:04:06
15,17542.5,0.1186,34.0883,2080.5405,598314.64575,FTX,2020-11-17 22:04:06
16,17541.5,0.8895,34.9778,15603.16425,613917.81,FTX,2020-11-17 22:04:06
17,17540.0,0.0097,34.9875,170.138,614087.948,FTX,2020-11-17 22:04:06
18,17539.5,0.3262,35.3137,5721.3849,619809.3329,FTX,2020-11-17 22:04:06
19,17539.0,0.0002,35.3139,3.5078,619812.8407,FTX,2020-11-17 22:04:06
0,17557.0,12.962,12.962,227573.834,227573.834,FTX,2020-11-17 22:04:10
1,17555.5,0.6967,0.6967,12230.91685,12230.91685,FTXUS,2020-11-17 22:04:10
2,17555.0,12.71,25.672,223124.05,450697.884,FTX,2020-11-17 22:04:10
3,17553.5,62.0073,62.704,1088445.14055,1100676.0574,FTXUS,2020-11-17 22:04:10
4,17551.5,107.6738,170.3778,1889836.7007,2990512.7581,FTXUS,2020-11-17 22:04:10
5,17551.0,0.1423,25.8143,2497.5073,453195.3913,FTX,2020-11-17 22:04:10
6,17550.5,19.2034,45.0177,337029.2717,790224.663,FTX,2020-11-17 22:04:10
7,17548.5,0.0285,45.0462,500.13225,790724.79525,FTX,2020-11-17 22:04:10
8,17548.0,85.2371,255.6149,1495740.6308,4486253.3889,FTXUS,2020-11-17 22:04:10
9,17548.0,0.673,45.7192,11809.804,802534.59925,FTX,2020-11-17 22:04:10
10,17547.5,0.4268,46.146,7489.273,810023.87225,FTX,2020-11-17 22:04:10
11,17547.0,0.0593,46.2053,1040.5371,811064.40935,FTX,2020-11-17 22:04:10
12,17546.0,0.504,46.7093,8843.184,819907.59335,FTX,2020-11-17 22:04:10
13,17545.0,0.0073,46.7166,128.0785,820035.67185,FTX,2020-11-17 22:04:10
14,17544.5,0.1187,46.8353,2082.53215,822118.204,FTX,2020-11-17 22:04:10
15,17544.0,1.2749,48.1102,22366.8456,844485.0496,FTX,2020-11-17 22:04:10
16,17543.5,0.1185,48.2287,2078.90475,846563.95435,FTX,2020-11-17 22:04:10
17,17543.0,82.3266,337.9415,1444255.5438,5930508.9327,FTXUS,2020-11-17 22:04:10
18,17540.5,0.3262,48.5549,5721.7111,852285.66545,FTX,2020-11-17 22:04:10
19,17539.0,0.0002,48.5551,3.5078,852289.17325,FTX,2020-11-17 22:04:10
0,17562.5,16.0728,16.0728,282278.55,282278.55,FTXUS,2020-11-17 22:04:16
1,17559.5,0.071,0.071,1246.7245,1246.7245,FTX,2020-11-17 22:04:16
2,17557.0,12.962,13.033,227573.834,228820.5585,FTX,2020-11-17 22:04:16
3,17555.5,0.6967,16.7695,12230.91685,294509.46685,FTXUS,2020-11-17 22:04:16
4,17555.0,0.125,13.158,2194.375,231014.9335,FTX,2020-11-17 22:04:16
5,17554.0,0.1423,13.3003,2497.9342,233512.8677,FTX,2020-11-17 22:04:16
